nombre,categoria,departamento,municipio,telefono,enlace,enlace_canonico,fuente,anio,atractivo,codigo,colegio,constitucionbien,descripcioncompleta,descripción,direccion,estadoconservacion,indicador,link,mes,pais_origen,prestador,registro_nacional_de_turismo,representatividad,responsable,ubicación,valor,vereda
MUSEO PARQUE ARQUEOLÓGICO DE SAN AGUSTÍN,,Huila,San Agustí­n,8373040,,,huila_travel,,,1.1.4.4,,,"Colección de artefactos líticos, cerámica, estatuaria y algunos otros objetos de uso que permite al visitante contextualizarse con la evolución de la cultura agustiniana. Consta de cerca de 600 piezas,entre las cuales se destacan un sarcófago Monolítico y otro en madera posiblemente para el entierro de un niño. Muestra los periodos de la cerámica agustiniana, algunos productos alimenticios de la época encontrados en tumbas. Para llegar al Parque Arqueológico de San Agustín usted debe tomar la vía Bogotá - Neiva (306 Km), Neiva - Pitalito (189 Km) y Pitalito - San Agustín (38 Km), el parque se encuentra a 3 Km de esta población. A la ciudad de Neiva se puede llegar por vía aérea",(1176 reviews),KM 3 VEREDA MESITA,,,https://huila.travel/inventario/9,,,,,28%,SITYC Huila,"San Agustí­n, KM 3 VEREDA MESITA.",,VEREDA MESITA
MUSEO PRECOLOMBINO VILLAREAL,,Huila,San Agustí­n,2147480000,,,huila_travel,,,1.1.4.4,,,"Museo privado creado en el año 96, con una colección de cerca de 500 piezas de lítica y cerámica en muy buen estado de conservación, que muestran las diferentes eras de la cultura agustiniana. Se puede diferencia los artefactos de uso diario y los de uso ritual por su forma y el color dejado por el humo; se destacan piezas como un sarcófago monolítico, urnas funerarias, cerámicas en alto relieve, entre muchas otras. Para llegar a San Agustín usted debe tomar la vía Bogotá - Neiva (306 Km), o llegar a Neiva por vía aérea, Neiva - Pitalito (189 Km) y Pitalito - San Agustín (38 Km).",(1176 reviews),Calle 5 No. 12 - 5,21%,,https://huila.travel/inventario/21,,,,,28%,SITYC Huila,"San Agustí­n, Calle 5 No. 12 - 5.",,CASCO URBANO DE SAN AGUSTÍN
Museo Prehistórico,,Huila,Neiva,0,,,huila_travel,,,41001.1.1.1.4.4.7.5963,,,Colección de cerca de 54 piezas que representan la fauna prehistórica y paleontológica de las diferentes épocas formativas del Desierto de la Tatacoa fabricadas en Terracota según su gestor el Señor José Ricardo Garrido que significa tierra cocida. El museo del año 1999 y cuenta con una sola sala donde se encuentran la exhibición y su ambientación simula cárcavas al estilo del Desierto de La Tatacoa. El tamaño de las piezas va desde 40 centímetros a 7 metros de longitud y tres metros de alto cuenta con iluminación artificial y avisos explicativos en español. 0,(1176 reviews),Carrera 1D No. 2A - 01,18%,,https://huila.travel/inventario/288,,,,,20%,SYTIC HUILA,"Neiva, Carrera 1D No. 2A - 01.",,0
MUSEO PREHISTORICO,,Huila,Neiva,2147480000,,,huila_travel,,,1.1.4.4,,,"Presenta una reproducción escultórica de animales prehistóricos mostrando un testimonio del pasado y el proceso de la evolución en el planeta tierra. Las obras están elaboradas en terracota que significa ""Tierra Cocida"" y su ambientación es una réplica de los estoraques y cárcavas en el Desierto de La Tatacoa. Alrededor de 54 piezas que van desde los 40 centímetros hasta los 7 metros de longitud y 3 metros de altura. Sobre el extremo sur del Malecón Del Río Magdalena. Neiva está Ubicada a 306 Km al sur de la ciudad de Bogotá, por una vía en muy buenas condiciones. Se puede llegar por vía aérea.",(1176 reviews),CARRERA 1H # 1Ã‚Âª -02. BAJO E,12%,,https://huila.travel/inventario/155,,,,,12%,SITYC Huila,"Neiva, CARRERA 1H # 1Ã‚Âª -02. BAJO E.",,CASCO URBANO DE NEIVA
OBSERVACIÓN ASTRONÓMICA,,Huila,Villavieja,0,,,huila_travel,,,1.6.1,,,La,(1176 reviews),,,,https://huila.travel/inventario/39,,,,,,SITYC Huila,"Villavieja, NA.",,
OBSERVATORIO ASTRONOMICO DE LA TATACOA,,Huila,Villavieja,8797740,,,huila_travel,,,1.1.4.3,,,"Observatorio astronómico con un telescopio electrónico Meade de 10 pulgadas tipo Smith Cassegrain, montado en una terraza con una cubierta tipo cúpula giratoria. Además cuenta con un edificio que presta servicios sanitarios, restaurante, zona para camping, terraza (propicia para admirar el paisaje y realizar actividades de observación celeste), además cuenta con un aula con capacidad para 30 personas. 7 Km por la vía pavimentada del casco urbano de Villavieja al desierto de la Tatacoa. Villavieja está Ubicada a 37 Km de la ciudad de Neiva, por una carretera pavimentada.",(1176 reviews),,21%,,https://huila.travel/inventario/20,,,,,18%,SITYC Huila,"Villavieja, NA.",,VEREDA EL CUZCO
Observatorio Astrosur,,Huila,Villavieja,310,,,huila_travel,,,,,,"Observatorio Astronómico de carácter privado, que aprovecha las condiciones climáticas y la baja contaminación lumínica del Desierto de La Tatacoa para observación astronomía, Investigación y astrofotografía, el sitio tiene un amplio espacio para recibir visitantes que llegan a charlas diarias sobre astronomía que incluyen observación de la cúpula celeste, telescopios para ese mismo fin, dos torres con cúpula giratoria y telescopios electrónicos para investigación y astrofotografía, parqueadero, cafetería y servicios sanitarios. Desde el parque Central del municipio de Villavieja 6.6 Km por vía pavimentada hasta el centro de Visitantes del Cusco y por la misma vía en afirmado 1.8 Km hasta El Observatorio.",(1176 reviews),Vereda Palmira,,,https://huila.travel/inventario/417,,,,,,Sityc Huila,"Villavieja, Vereda Palmira.",,Vereda Palmira
PALACIO DE LOS NIÑOS,,Huila,Neiva,0,,,huila_travel,,,1.1.4.5,,,"Zona de recreación para los niños y jóvenes, cuenta con un infraestructura adecuada para la práctica del patinaje, skateboard, aeróbicos, entre otras actividades. Tiene un juego de agua con chorros, plazoleta de comidas, tarima y edificios para la instalación de museos, además posee facilidad de parqueadero. Frente al cementerio Central de Neiva. Neiva está Ubicada a 306 Km al sur de la ciudad de Bogotá, por una vía en muy buenas condiciones. Se puede llegar por vía aérea.",(1176 reviews),CALLE 21 ENTRE CARRERA 2 Y 1,21%,,https://huila.travel/inventario/91,,,,,24%,SITYC Huila,"Neiva, CALLE 21 ENTRE CARRERA 2 Y 1.",,CASCO URBANO DE LA CIUDAD DE N
Palacio Episcopal de Garzón,,Huila,Garzón,0,,,huila_travel,,,41298.1.1.1.3.5.2.5355,,,El Palacio Episcopal es una edificación de dos plantas con igual número de cuerpos articulados sobre un jardín o patio central. Está edificado con mampostería de ladrillo y en teja de barro con aleros para la cubierta. En su exterior su fachada hace juego con la de la catedral a base de pilastras de ladrillo entre las que se disponen los diversos vanos la puerta de entrada es un arco de medio punto enmarcado por elementos decorativos provenientes del neoclásico. Curiosamente el tratamiento de la fachada se limita a la colindante con la catedral más en su interior aparece totalmente ajeno a ella seguramente debido a sus intervenciones. El Palacio Episcopal es la sede y residencia oficial del obispo siendo la capital diocesana del departamento del Huila. 0,(1176 reviews),Calle 6 No. 7 - 14,20%,,https://huila.travel/inventario/247,,,,,28%,SYTIC,"Garzón, Calle 6 No. 7 - 14.",,GARZON
Parque Ángel María Paredes,,Huila,Yaguará,0,,,huila_travel,,,41885.1.1.2.2.6.1.5210,,,El Parque Principal de Yaguara conocido como también como Parque Ángel María Paredes es para el municipio el lugar donde se desarrollan actividades culturales recreativas políticas y sociales. Su planificación fue fruto de la renovación urbanística liderada por el párroco Diego Quintero Tobar en el siglo XIX. Es de forma rectangular y tiene como característica ser uno de los parques más grandes del departamento del Huila. El parque está arborizado principalmente con samanes y tiene espacios para el disfrute del lugar alamedas bancas y zonas verdes. En el parque se encuentra el monumento a Juan Vaquero que hace referencia a uno de los principales sectores de la economía local la ganadería y la práctica cultural de la vaquería. 0,(1176 reviews),Carrera 4 No. 3 - 31,18%,,https://huila.travel/inventario/230,,,,,27%,SYTIC,"Yaguará, Carrera 4 No. 3 - 31.",,yaguara
PARQUE ARQUEOLÓGICO ALTO DE LOS ÍDOLOS,,Huila,Isnos,2147480000,,,huila_travel,,,1.4.3.,,,"Ubicado sobre dos explanaciones artificiales unidas por un terraplén también artificial de cerca de 300 Mts, en forma de herradura. Es uno de los conjuntos funerarios mejor conservados de la cultura agustiniana, con estatuaria antropomorfa y zoomorfa de grandes dimensiones. Sarcófagos en piedra y pinturas en la estatuaria y en las paredes de la Tumbas. El paisaje es espectacular. Fue declarado patrimonio de la humanidad en 1995 por la UNESCO. Abierto al publico todos los días de 8 am a 4:30 pm. El ingreso tiene un costo de: Niños de 7 a 15 años $5.000, Adultos Colombianos $10.000, Adultos extranjeros 15.000, los niños de hasta 6 años entran gratis. Este valor incluye la visita al Parque Alto de las Piedras y se puede comprar un combo para Alto de los Ídolos y San Agustín por; $8.000, $16.000 y $25.000 respectivamente. Ubicado a 5 Km del casco urbano de Isnos, población Localizada a 228 Km de la ciudad de Neiva por un vía pavimentada en muy buen estado, pasando por Pitalito ubicado a 189 Km de Neiva",(1176 reviews),PARQUE ARQUEOLOGICO ALTO DE LO,21%,,https://huila.travel/inventario/12,,,,,,SITYC Huila,"Isnos, PARQUE ARQUEOLOGICO ALTO DE LO.",,VEREDA ALTO DE LOS ÍDOLOS
PARQUE ARQUEOLÓGICO ALTO LAS PIEDRAS,,Huila,Isnos,2147480000,,,huila_travel,,,1.4.3,,,"Ubicado en una pequeña colina en forma de herradura, forma que se le dio artificialmente a través de aterrazamientos y rellenos. El sitio cuenta con varias tumbas ubicadas en cuatro montículos, donde sobresale una tumba principal en el centro del montículo norte de la Herradura, revestida por tres lajas de piedra en sus costados, con tres grandes piedras como cubierta y con evidentes signos de policromía. En el sitio fueron encontradas 11 estatuas dejadas en la superficie por guaqueros, de las cuales sobresale una que representa dos figuras humanas una sobre la otra con tocado y algunos rasgos de animales, como la dentadura con colmillos Ubicada a 5 Km del casco urbano del municipio de Isnos, por una vía sin pavimentar que conduce a el corregimiento de Bordones. Isnos, esta ubicada a 228 Km de la ciudad de Neiva por un vía pavimentada en muy buen estado, pasando por Pitalito ubicado a 189 Km de Neiva",(1176 reviews),EL ADMINISTRADOR TIENE SEDE EN,21%,,https://huila.travel/inventario/13,,,,,28%,SITYC Huila,"Isnos, EL ADMINISTRADOR TIENE SEDE EN.",,VEREDA LAS DELICIAS
PARQUE ARQUEOLÓGICO DE SAN AGUSTÍN,,Huila,San Agustí­n,8373040,,,huila_travel,,,1.4.3,,,"Uno de los sitios arqueológicos mas importantes de Colombia, en medio de montañas cañones y desfiladeros, donde antiguos pobladores dejaron para la posteridad una colección de estatuas monumentales, tallas en piedra, sarcófagos monolíticos y petroglifos, localizados en mesetas y montículos artificiales. El parque es sede de un museo y una biblioteca especializada e incluye el bosque de las estatuas, el complejo de las mesitas A, B y D, la fuente ceremonial del Lavapatas y el alto del Lavapatas. Fue declarado por la Unesco como patrimonio de la Humanidad en diciembre de 1995. Abierto al publico todos los días de 8 am a 4:30 pm. El ingreso tiene un costo de: Niños de 7 a 15 años $5.000, Adultos Colombianos $10.000, Adultos extranjeros 15.000, los niños de hasta 6 años entran gratis. Se puede comprar un combo para San Agustín y Alto de los Ídolos por; $8.000, $16.000 y $25.000 respectivamente. Para llegar al Parque Arqueológico de San Agustín usted debe tomar la vía Bogotá - Neiva (306 Km), Neiva - Pitalito (189 Km) y Pitalito - San Agustín (38 Km), el parque se encuentra a 3 Km de esta población. A la ciudad de Neiva se puede llegar por vía aérea.",(1176 reviews),Km 3 verda Mesitas,,,https://huila.travel/inventario/1,,,,,28%,SITYC Huila,"San Agustí­n, Km 3 verda Mesitas.",,Vereda Mesitas
PARQUE ARQUEOLOGICO MUSEO DE OBANDO,,Huila,San Agustí­n,2147480000,,,huila_travel,,,1.1.4.4,,,"Importante colección de cerámica y lítica agustiniana con representaciones pictóricas de la evolución de la cultura precolombina del lugar y las relaciones chamánicas de los antiguos pobladores de la región agustiniana con los animales y las plantas de poder; con la evolución de los pueblos desde la recolección a la agricultura. El museo esta rodeado por un parque arqueológico muy representativo por sus tumbas de cancel y semi cancel. Atiende de 8AM a 6 PM y tiene un costo de $2000.oo la entrada por persona Localizado a 18 Km del casco urbano de San Agustín por el anillo turístico. Para llegar a San Agustín usted debe tomar la vía Bogotá - Neiva (306 Km), o llegar a Neiva por vía aérea, Neiva - Pitalito (189 Km) y Pitalito - San Agustín (38 Km).",(1176 reviews),CENTRO POBLADO DE OBANDO,21%,,https://huila.travel/inventario/11,,,,,28%,SITYC Huila,"San Agustí­n, CENTRO POBLADO DE OBANDO.",,CENTRO POBLADO DE OBANDO
Parque Central Rivera,,Huila,Rivera,0,,,huila_travel,,,41615.1.1.2.2.6.1.5283,,,Fue construido como eje del desarrollo del poblado al estilo de las villas españolas que tienen una cuadrícula central y manzanas alrededor. Este parque se inició a construir en el año de 1888 aun cuando Rivera no era municipio sino un corregimiento de Neiva llamado San Mateo. Con el paso de los años ha sido modificado y en la actualidad es una plaza con pisos de concreto y sardineles de ladrillo en el parque hay árboles de mango araucarias acacias gualanday y palmas de diferentes especies. En el centro del parque se erige un monumento en ferroconcreto con acabados en cerámica con el busto en bronce de José Eustasio Rivera. 0,(1176 reviews),Calle 4a entre carreras 7 y 6,18%,,https://huila.travel/inventario/214,,,,,26%,SYTIC,"Rivera, Calle 4a entre carreras 7 y 6.",,rivera
Parque de la Música Jorge Villamil Cordovez,,Huila,Neiva,0,,,huila_travel,,,41001.1.1.2.2.6.1.5964,,,Cuenta con 5.018 metros cuadrados de área construida distribuidos en tres bloques uno de escenarios cafetería baños y vestidores otro de graderías con un aforo de 5.500 personas en un sistema de asientos de polipropileno y un bloque de oficinas y espacios cerrados cuenta con especies nativas de flora a las que el maestro Jorge Villamil Cordovez les cantó como el caracolí samán y la mata de guadua El parque rinde homenaje al maestro Jorge Villamil compositor de las Américas. Fue entregado en el año 2016 y en el año del 2017 fue reconocido como una de las mejores obras de Colombia en diseño ejecución y demás ítem arquitectónicos en los Premios Obras Cemex recibió el premio especial de Valor Social que se destaca por ser un espacio de renovación urbana donde la familia se reúne para disfrutar y crear recuerdos juntos así mismo se valora como un sitio de identificación y orgullo ciudadano.El lugar está destinado a la realización de eventos pero a diario se puede visitar y encontrar parejas o grupos practicando danzas folclóricas. Está rodeado de zonas verdes y jardines. 0,(1176 reviews),Carrera 8 entre calle 5 y 6,20%,,https://huila.travel/inventario/289,,,,,24%,SYTIC HUILA,"Neiva, Carrera 8 entre calle 5 y 6.",,0
Parque Isla del Mohán,,Huila,Neiva,0,,,huila_travel,,,41001.1.1.2.2.6.1.5965,,,asociadas a este ecosistema y al río. En la actualidad el parque presenta una importante restauración natural del bosque y la recuperación de puentes y senderos adoquinados para facilitar el acceso al público y el disfrute del ecosistema y su biodiversidad el parque cuenta con un registro de 84 especies de aves y hay reportes de avistamiento de iguanas caimanes y babillas.En el año 2002 cuando se dio apertura al mirador del Mohan el parque se habilito más aún no se encontraba listo con los servicios que se planificaron su objetivo era el de recrear la mitología en torno a mitos y leyendas sobre el mohan y su relación con los pescadores las mujeres y el recurso hídrico posteriormente se adecuaron senderos ecológicos ciclo rutas y puerto para recorridos en bote. Actualmente se encuentra en remodelación. Se le conoce también como Parque Isla del Magdalena o Parque Isla de la Gaitana. 0,(1176 reviews),Avenida Circunvalar con calle 10,12%,,https://huila.travel/inventario/290,,,,,18%,SYTIC HUILA,"Neiva, Avenida Circunvalar con calle 10.",,0
PARQUE NACIONAL NATURAL CUEVA DE LOS GUACHAROS,,Huila,Palestina,320306000,,,huila_travel,,,2.10.1.1,,,"Parque Nacional Natural de 9000 Ha con tres zonas de vida representativas entre las que encontramos el Bosque Andino, Bosque Alto Andino y el Subparamo. Fue declarado como el primer Parque Natural Nacional del Sistema de Parques en el año 1960, en el año 1975 fue alinderado y ampliado y en 1980 la UNESCO lo declaro como Reserva de La Biosfera, cuenta con alta diversidad de fauna y flora entre los cuales se destacan como especies carismáticas como el Guácharo, el oso de anteojos, la Danta de Paramo, los monos churucos, la pava negra y el gallito de roca. Uno de los componentes que lo hacen singular es un conjunto de formaciones. Su rango altitudinal que va desde los 1610 hasta los 2840 msnm se consolidan como un corredor entre ecosistema andinos y amazónicos conservando los uno de los últimos reductos de la selva andina virgen y garantizando la producción de agua Ubicado a 20 Km del municipio de Palestina, 12 km hasta la vereda la mensura por una carretera si pavimentar y 8 km por un camino de herradura. Palestina está ubicada a 217 Km de Neiva, 189Km por vía pavimentada hasta Pitalito y 18 Km por carretera sin pavimentar",(1176 reviews),PARQUE PRINCIPAL PALESTINA,,,https://huila.travel/inventario/14,,,,,,SITYC Huila,"Palestina, PARQUE PRINCIPAL PALESTINA.",,
PARQUE NATURAL REGIONAL CERRO PARAMO DE MIRAFLORES,,Huila,Gigante,8765020,,,huila_travel,,,2.10.2,,,"El Cerro de Miraflores se encuentra ubicado en el flanco occidental de la cordillera Oriental entre los departamentos del Huila y Caquetá en jurisdicción de los municipios de Algeciras, El Gigante y Garzón, en el Huila y Paujil, Doncello y Puerto Rico en el Caquetá. La CAM expide el acuerdo 012 del 27 de mayo de 2005 ""Por el cual se declara el Cerro Páramo de Miraflores como Parque Natural Regional"". El Parque se distribuye en la zona de Bosque de Niebla y Subpáramo, encontrando especies de fauna y flora típicas de estos ecosistemas Ubicado a 39 Km del casco urbano de Gigante, 12 Km por una vía pavimentada hasta el centro poblado de Tres Esquinas, y 17 Km por carretera sin pavimentar hasta la vereda Ventanas.",(1176 reviews),Cr 1 No. 60 - 79 Neiva,,,https://huila.travel/inventario/59,,,,,,SITYC Huila,"Gigante, Cr 1 No. 60 - 79 Neiva.",,
Parque Pentagrama Recreacional y Cultural El Caracolí,,Huila,Neiva,0,,,huila_travel,,,41001.1.1.2.2.6.1.5973,,,También conocido como simplemente Parque Caracolí se adecuo en el antiguo puerto sobre el Río Magdalena el cual en el siglo XIX y XX fue un sitio estratégico como sitio de llegada de los hidroaviones que comunico por vía aérea a Neiva con Girardot y Barranquilla igualmente se tenía acceso al transporte fluvial de pasajeros y de carga en los inicios de la ciudad de Neiva. El parque cuenta con espacios adoquinados el puerto un espacio que sirve de auditorio para espectáculos una cancha de voleyplaya y una pista de vehículos para niños así mismo es posible disfrutar de actividades al aire libre entre los que se destacan bicicleta patinetas patines juegos como columpios pasamanos red escalada y toboganes. Es un lugar de esparcimiento y relajación familiar donde la brisa del río y su arborización le da una energía especial para su disfrute. 0,(1176 reviews),Avenida Circunvalar con calle 16,16%,,https://huila.travel/inventario/291,,,,,24%,SYTIC HUILA,"Neiva, Avenida Circunvalar con calle 16.",,0
PARQUE PENTAGRAMA RECREACIONAL Y CULTURAL EL CARACOLI,,Huila,Neiva,0,,,huila_travel,,,1.1.4.5,,,"Parque localizado en el antiguo puerto fluvial del Caracolí, donde se encuentra uno de los monumentos de ""Ciudad Villamil"" El Caracolí. Como es natural el río permitió el desarrollo y la comunicación de la ciudad en sus inicios, hoy en día el puerto es un mirador que evoca el recuerdo de la llegada del hidroavión en la década de los 20 del siglo pasado, las bogas y pescadores de antaño. El espacio presenta una infraestructura propia para la recreación y el esparcimiento disfrutando de los beneficios del paisaje y la brisa del río Magdalena. Su denominación pentagrama y cultural, hace referencia al homenaje a los compositores huilenses, plasmados particularmente en una obra escultórica donde además de una sensual figura femenina presenta un pentágono como base donde se admira en alto relieve la efigie de los compositores: Luis Alberto Osorio, El Papi Tovar, Álvaro Córdoba, El Pipa Prada y Jorge Villamil Cordovez. En su área se encuentra un restaurante; tienda de café; un gran parqueadero; cancha de vóley playa; pista de motocicletas para niños; espacio para encuentros, mini espectáculos, juegos y afines. Sobre El Extremo norte del Malecón del Río Magdalena. Neiva está Ubicada a 306 Km al sur de la ciudad de Bogotá, por una vía en muy buenas condiciones. Se puede llegar por vía aérea.",(1176 reviews),MALECÓN DEL RÍO MAGDALEN,17%,,https://huila.travel/inventario/141,,,,,16%,SITYC Huila,"Neiva, MALECÓN DEL RÍO MAGDALEN.",,CASCO URBANO DE LA CIUDAD DE N
Parque Principal de Aipe,,Huila,Aipe,0,,,huila_travel,,,41016.1.1.2.2.6.1.5091,,,El Parque Principal del municipio de Aipe se constituye en un punto de encuentro y escenario para actividades culturales y artísticas. Fue construido en el año 1923 al estilo de las ciudades españolas como eje central de una cuadrícula de manzanas en torno al cual estaban las casas principales del poblado las edificaciones gubernamentales y la iglesia. En la actualidad el parque se encuentra arborizado y tiene una concha acústica donde se desarrollan actividades en la parte posterior de la concha tiene un mural en alto relieve con rasgos patrimoniales del municipio y sus lugareños. 0,(1176 reviews),Calle 5 con carrera 5,18%,,https://huila.travel/inventario/196,,,,,28%,SYTIC,"Aipe, Calle 5 con carrera 5.",,Aipe
Parque Santander,,Huila,Neiva,0,,,huila_travel,,,41001.1.1.2.2.2.1.5974,,,La plaza mayor de la ciudad es un espacio de cerca de una hectárea de terreno arborizado y amoblado con bancas en concreto corredores en piso de tableta cuadrada jardineras y faroles. En la parte noroccidental está ubicada una fuente iluminada y con figuras de la fauna del Huila y sobre ese mismo costado una escultura de Francisco de Paula Santander primer presidente constitucional de Colombia sobre el costado oriental se encuentra un obelisco en honor a los mártires de la independencia. Está conectado a una plazoleta que da acceso al edificio de la Gobernación del Huila. En el año de 1967 se tuvo que reconstruir debido al terremoto que afecto la ciudad. 0,(1176 reviews),Carrera 4 con calle 8,20%,,https://huila.travel/inventario/292,,,,,28%,SYTIC HUILA,"Neiva, Carrera 4 con calle 8.",,0
Paseo José Eustasio Rivera,,Huila,Neiva,0,,,huila_travel,,,41001.1.1.2.2.8.1.5976,,,Corredor arborizado entre la calzada vehicular de la carrera quinta y la ciclo ruta. Simula las vías peatonales europeas con espacios para árboles iluminación sitios para descanso ciclovía y obras artísticas. Cuenta con bancas en concreto y pisos adoquinados a lo largo del pasaje se encuentran algunas obras escultóricas de interés entre las que se destacan el Monumento Intihuantana que hace referencia a la Cacica Gaitana y a la fuente sagrada del Lavapatas Niña Tomado el Vuelo del escultor Emiro garzón y un busto del escritor y poeta José Eustasio Rivera quien fue oriundo de Neiva y un importante novelista y poeta colombiano. Este paseo se entrego en el año de 1994. 0,(1176 reviews),Carrera 5 entre la calle 25a y la calle 7,18%,,https://huila.travel/inventario/293,,,,,26%,SYTIC HUILA,"Neiva, Carrera 5 entre la calle 25a y la calle 7.",,0
PEPITORIA DE CHIVO,,Huila,Villavieja,0,,,huila_travel,,,1.6.2,,,"Plato típico del norte del Huila y el sur del Tolima el cual se prepara cocinando las vísceras del chivo, se pican y se vuelven a cocinar con cerveza, apio, orégano y cilantro, y posteriormente se mezclan con arroz y verduras. Villavieja está Ubicada a 37 Km de la ciudad de Neiva, por una carretera pavimentada.",(1176 reviews),,,,https://huila.travel/inventario/70,,,,,,SITYC Huila,"Villavieja, NA.",,
PETROGLIFOS DE LA UNIÓN,,Huila,La Argentina,0,,,huila_travel,,,1.4.1,,,"Conjunto de petroglifos en donde se encuentra simbología y trazos de caminos precolombinos tallados en piedra en medio de una matriz de paisaje agropecuario. A 7 kilómetros por la vía que del casco urbano de la argentina conduce a la vereda de La Unión. El municipio de La Argentina esta. Ubicado a 153 Km de la ciudad de Neiva. 116 km por una vía pavimentada en muy buen estado, hasta el municipio de La Plata y de allí por una vía sin pavimentar 23 Km por la vía La Plata, Belén , Popayán y 14 Km tomando un desvió en el centro poblado de Gallego",(1176 reviews),,8%,,https://huila.travel/inventario/165,,,,,14%,SITYC Huila,"La Argentina, NA.",,VEREDA LA UNION
PETROGLIFOS DEL ESTRECHO,,Huila,San Agustí­n,0,,,huila_travel,,,1.4.1,,,"Conjunto de piedras talladas con simbología chamánica cultural de los antiguos pobladores. En un sitio ceremonial cerca al Estrecho del Magdalena. Localizado a 7 Km del casco urbano de San Agustín por el anillo turístico Vía al estrecho del Magdalena. Para llegar a San Agustín usted debe tomar la vía Bogotá - Neiva (306 Km), o llegar a Neiva por vía aérea, Neiva - Pitalito (189 Km) y Pitalito - San Agustín (38 Km).",(1176 reviews),,15%,,https://huila.travel/inventario/147,,,,,16%,SITYC Huila,"San Agustí­n, NA.",,VEREDA LA AGUADA
Piedra pintada,,Huila,Aipe,0,,,huila_travel,,,41016.1.1.3.4.1.1.5092,,,Piedra tallada in situ por culturas precolombinas que habitaron o transitaron por la región su cara principal apunta al oriente geográfico y está grabada con figuras animales y humanas de objetos de uso y símbolos de su cosmovisión. Piedra pintada es considerada una de las obras arqueológicas más importantes del departamento del Huila por la calidad de sus tallas la cantidad de figuras y la simbología plasmada en la roca en la cual es posible identificar diseños correspondientes con piezas de orfebrería de varias regiones del país así mismo era considerada un lugar de intercambio comercial en territorio Pijao este intercambio era facilitado por la cercanía de las aguas del Río Magdalena el cual pasa a metros.Esta piedra de forma prismática triangular presenta un ancho de 720 metros profundidad de 445 metros y alto de 36 metros. Roca sedimentaria marina formada hace miles de años razón por la cual los granos de la roca están representados por cuarzos y conchas de microfósiles. Desde el Parque Principal de Aipe se toma la vía que conduce a Bogotá por 14.4 Km sobre el costado derecho se encuentra una entrada en el cerco y se debe caminar cerca de 50 metros.,(1176 reviews),0,16%,,https://huila.travel/inventario/197,,,,,28%,SYTIC,"Aipe, 0.",,Aipe
PISCICULTURA INDUSTRIAL EN JAULAS,,Huila,Yaguará,0,,,huila_travel,,,1.3.2,,,"Explotación pesquera industrializada en jaulas flotantes. Ubicada en la represa de Betania, con todos los componentes culturales del proceso productivo, es impactante la actividad de alimentación de los peces, por la cantidad de individuos que aletean buscando el alimento y puede ser una actividad demostrativa para replicar en otras regiones del país. Desde el casco urbano del municipio de Yaguará, localizado a 49 km de la ciudad de Neiva se debe desplazar en lancha por al menos media hora, para llegar a las primeras piscícolas.",(1176 reviews),REPRESA DE BETANIA,,,https://huila.travel/inventario/166,,,,,,SITYC Huila,"Yaguará, REPRESA DE BETANIA.",,
Piscicultura Industrial en Jaulas,,Huila,Yaguará,0,,,huila_travel,,,41885.1.1.4.2.1.1.5211,,,Explotación pesquera industrializada en jaulas flotantes generalmente por familias de pescadores y empresarios privados en la Represa de Betania. Actividad productiva piscícola con todos sus componentes tecnológicos y culturales en la cual se puede apreciar todo el proceso de cría selección y ceba de especies principalmente de tilapia roja se puede observar el proceso de la cría de peces especialmente de la tilapia roja desde su etapa de alevinos hasta su crecimiento y la importancia de este método de cría frente al tradicional en estanques. En los alrededores se aprecian también aves acuáticas como águila pescadora garzas pato aguja entre otras. La piscicultura industrial en jaulas nace como una de las líneas de aprovechamiento de la hidroeléctrica de Betania son factorías piscícolas cuyo volumen se mide de acuerdo a los permisos otorgados a cada empresa. El principal producto cultivado es la mojarra roja o tilapia la cual se produce en volúmenes para ser exportada a países como Estados Unidos y España. Los piscicultivos se realizan en jaulas o jaulones hechos en hierro y aluminio que flotan sobre el embalse donde distribuyen los peces según su tamaño y son alimentados con concentrado. Desde el Parque Principal de Yaguará se toma la calle 4a hasta la carrera 8a se gira a la derecha tomando la vía Yaguara a Neiva recorriendo 5 kilómetros hasta la vereda Tripa Ciega donde se encuentra una puerta de hierro al costado derecho de la vía se sigue por un sendero 200 metros hasta el embalse de Betania donde se encuentran varias jaulas .,(1176 reviews),0,16%,,https://huila.travel/inventario/231,,,,,18%,SYTIC,"Yaguará, 0.",,yaguara
Plaza de Mercado de La Plata,,Huila,La Plata,0,,,huila_travel,,,1.1.3.1 Templo,,,"Amplia construcción de dos pisos, que ocupa casi una manzana completa, donde productores campesinos y comercializadores de productos de primera necesidad ofrecen a locales y visitantes una amplia gama de productos del campo, entre ellos frutas y verduras, panela y algunos derivados, pan tradicional, quesos, entre otros y una amplia oferta de productos de la gastronomía tradicional, en espacios muy cuidados. Los puestos de frutas y verduras, ofrecen un colorido especial a la plaza y el acceso de los visitantes a la comida tradicional y a las frutas frescas lo convierten en un sitio de visita obligada. La Plaza de Mercado esta a una cuadra del Parque Principal de La Plata",(1176 reviews),Carrera 4 entre calle 5 y 6,,,https://huila.travel/inventario/398,,,,,,SITYC HUILA,"La Plata, Carrera 4 entre calle 5 y 6.",,Casco Urbano
