Departamento,Municipio,Nombre,Link,Vereda,Direccion,Codigo,Responsable,Telefono,EstadoConservacion,ConstitucionBien,Representatividad,Ubicación,Descripción,DescripcionCompleta
Huila,La Argentina,COLINAS LOS HALCONES,https://huila.travel/inventario/49,VEREDAS EL PENSIL Y MARSELLA,,2.1.7,SITYC Huila,0,,,,"La Argentina, NA.",(1176 reviews),"Conjunto de colinas consecutivas entre el centro poblado El Pensil y el Resguardo Nuevo Amanecer, rodeadas por unidades de paisaje cultural y natural donde se aprecian bosques y una colcha de retazos de potreros y cultivos. Son aprovechadas como campo Escuela para la práctica del Parapente; enriqueciendo el paisaje con el colorido de las alas delta. Su topografía, y la presencia permanente de suaves corrientes térmicas las hacen ideales para la inducción en la practica de este emocionante deporte de riesgo controlado Ubicadas a 12 Km de el casco urbano de La Argentina. El municipio de La Argentina esta ubicado a 153 Km de la ciudad de Neiva. 116 km por una vía pavimentada en muy buen estado, hasta el municipio de La Plata y de allí por una vía sin pavimentar 23 Km por la vía, La Plata, Belén , Popayán y 14 Km tomando un desvió en el centro poblado de Gallego."
Huila,La Argentina,COMUNIDAD ATLANTIS,https://huila.travel/inventario/163,VEREDA CAMPOALEGRE,VEREDA CAMPOALEGRE/MUNICIPIO D,1.8.5,SITYC Huila,0,,,,"La Argentina, VEREDA CAMPOALEGRE/MUNICIPIO D.",(1176 reviews),"Comunidad de ingleses e irlandeses, que se radicaron en la zona, manejan un modelo de vida autosostenible. Son vegetarianos y producen sus alimentos en forma natural y sana; crían especies menores como productores de abono pues su cultura es de respeto a la vida y no les permite matar animales para comerlos. Aportan conocimientos sobre su estilo de vida a la comunidad de la zona y a los visitantes, y tienen el teatro, la danza y la música como un componente de su vida diaria. Por la vía que del casco urbano de la plata conduce a Popayán pasando por los centros poblados de Gallego, villa Lozada y Belén, 41, 8 Km hasta el cruce del congreso y de allí 11 Km hasta donde inicia un sendero de cerca de 1 Km. El municipio de La Argentina esta ubicado a 153 Km de la ciudad de Neiva. 116 km por una vía pavimentada en muy buen estado, hasta el municipio de La Plata y de allí por una vía sin pavimentar 23 Km por la vía La Plata, Belén , Popayán y 14 Km tomando un desvió en el centro poblado de Gallego."
Huila,Colombia,Comunidad Nazarenos de Dios,https://huila.travel/inventario/185,Vereda El Valle,Comunidad Nazareth,1.8.5,SYTIC,0,,,,"Colombia, Comunidad Nazareth.",(1176 reviews),"Al oriente del municipio de Colombia, en una zona montañosa, existe una comunidad que se destaca por la singularidad en su organización social y religiosa, pues administra sus propiedades de manera comunitaria, en la cual todos trabajan por el desarrollo y bienestar de todos, se rigen por unos parámetros de conducta definidos por su organización y tienen un enfoque singular de la vida y el universo, se trata de la comunidad Nazarenos de Dios, quienes hoy además de su producción agropecuaria basada en la ganadería, molienda y cultivos de pan coger, le apuntan al turismo de naturaleza y cultura. A 22 Km de Casco urbano del Municipio de Colombia por una vía en afirmado en buen estado"
Huila,Neiva,"CONJUNTO DE MONUMENTOS ""NEIVA, CIUDAD VILLAMIL""",https://huila.travel/inventario/160,CASCO URBANO DE LA CIUDAD DE N,,1.5.2.6,SITYC Huila,0,11%,,18%,"Neiva, NA.",(1176 reviews),"Está conformado por diez esculturas, instaladas en el año 2003, para la celebración del cumpleaños 391 de la ciudad, rindiendo homenaje en vida al ""Compositor de Las América"" Jorge Villamil Cordovez, plasmando en obras escultóricas los siguientes reconocidos temas musicales: Me Llevarás en Ti, El Barcino, Los Guaduales, Llamarada, El caracolí, Luna Roja pasaje I, Luna Roja pasaje II, Al Sur, Tamboras del Pacandé y El Caballo Colombiano. Algunos de los monumentos presentan la particular técnica de hierro en oxidación, pero sobre todo se distingue la presentación figurativa de los temas musicales, plasmados en esculturas en variedad de técnicas y materiales, plástico, poliéster reforzado en fibra de vidrio, hierro, acero, ferro concreto, bronce, pintura sintética entre otros materiales. Con estas obras, propios y visitantes tienen la oportunidad de conocer más de la identidad huilense, melodías autóctonas, la valoración del entorno natural, historias y el sentir bohemio del huilense. Neiva está Ubicada a 306 Km al sur de la ciudad de Bogotá, por una vía en muy buenas condiciones. Se puede llegar por vía aérea."
Huila,Neiva,Conjunto de Monumentos de La Ciudad de Neiva,https://huila.travel/inventario/273,0,Cra. 1 #42W Neiva Huila,41001.1.2.2.6.1.1.5890,SYTIC HUILA,0,14%,,24%,"Neiva, Cra. 1 #42W Neiva Huila.",(1176 reviews),Neiva cuenta con conjunto de cerca de 100 monumentos y esculturas que evocan pasajes históricos de la ciudad o representan rasgos culturales de la región huilense se destacan El Cuarto Centenario La Lavandera Los Potros La Gaitana El bosque Mitológico La Raza y El Barcino algunos son conjuntos de temas específicos como los de la avenida Inés García de Durán con los pasos del Sanjuanero Huilense o Neiva Ciudad Villamil con temas alusivos a la obra musical del maestro Jorge Villamil. 0
Huila,Neiva,CONJUNTO DE MONUMENTOS DE LA CIUDAD NEIVA.,https://huila.travel/inventario/148,CASCO URBANO DE LA CIUDAD DE N,,1.5.2.6,SITYC Huila,0,9%,,18%,"Neiva, NA.",(1176 reviews),"Conjunto de esculturas y monumentos de la ciudad, que recrean la historia (hechos y personajes), la cotidianidad del pueblo huilense y neivano. Son representativos y se destacan en la memoria de los neivanos algunos de ellos como lo son: La Lavandera, Los Potros, El Bosque Mitológico de La Estación del Ferrocarril, El Mestizaje, El Obrero, La Doble Maternidad, Francisco de Paula Santander, El triunfo, Los Enamorados, por decir algunos de los casi cien monumentos que hay. Variedad de técnicas de las artes visuales se ven plasmadas en diversos espacios de la ciudad. La mayoría presenta deterioro Neiva está Ubicada a 306 Km al sur de la ciudad de Bogotá, por una vía en muy buenas condiciones. Se puede llegar por vía aérea."
Huila,Neiva,Conjunto de Monumentos Neiva Ciudad Villamil,https://huila.travel/inventario/274,0,Av. La Toma,41001.1.1.2.1.1.1.5891,SYTIC HUILA,0,15%,,24%,"Neiva, Av. La Toma.",(1176 reviews),Espacio conformado por diez esculturas instaladas en el año 2003 para la celebración del cumpleaños 391 de la ciudad y con las que se rinde homenaje en vida al “Compositor de Las Américas” Jorge Villamil Córdovez plasmando en obras escultóricas de sus reconocidos temas musicales: Me Llevarás en Ti El Barcino Los Guaduales Llamarada El Caracolí Luna Roja Pasaje I Luna Roja Pasaje II Al Sur Tamboras del Pacandé y El Caballo Colombiano. Algunos de los monumentos presentan la particular técnica de hierro en oxidación pero sobre todo se distingue la representación figurativa de los temas musicales plasmados en esculturas en variedad de técnicas y materiales como plástico poliéster reforzado en fibra de vidrio hierro acero ferro concreto bronce y pintura sintética. Con estas obras se da a conocer distintos elementos de la identidad huilense la riqueza musical y cultura colombiana. 0
Huila,Garzón,Convento de las Hermanas Clarisas Monasterio del Ave María,https://huila.travel/inventario/239,GARZON,Calle 9 vía Zuluaga,41298.1.1.1.3.3.2.5307,SYTIC,0,18%,,24%,"Garzón, Calle 9 vía Zuluaga.",(1176 reviews),Edificación religiosa de la orden de las Hermanas Clarisas construido en ladrillo tapia pisada y cubiertas de teja de barro. Cuenta con una capilla de un solo cuerpo que hace parte del claustro la cual está conformada por una nave principal y una lateral separadas por arcos ojivales apuntados. En su interior se encuentran imágenes religiosas obras pictóricas y vitrales. 0
Huila,Colombia,Cristo Pantocrator,https://huila.travel/inventario/184,Sitio Santa Helena Corregimiento de Santana,Sitio Santa Helena Corregimiento de Santana,1.5.2.4,SYTICA,3222680000,21%,,16%,"Colombia, Sitio Santa Helena Corregimiento de Santana.",(1176 reviews),"Figura de 4,60 por 3,10 Metros, tallada en alto relieve, en La Piedra de El Roblar en el sitio Santa Helena en el corregimiento de Santana en Colombia Huila, esta ubicada a 5 Km del centro poblado y es una representación tradicional de Jesucristo denominada Pantocrator, que simboliza el Dios todopoderoso y omnipotente. La obra es del sacerdote P. Roberto Martínez López. EL bien está ubicado a 10 Km del Centro Poblado de Santana, por una vía en afirmado, en regular estado en la vereda Santa Helena, toma aproximadamente 30 minutos en carro."
Huila,Neiva,Cuenca del Río Las Ceibas,https://huila.travel/inventario/255,0,0,41001.2.2.4.1.1.1.5892,SYTIC,0,,,,"Neiva, 0.",(1176 reviews),La Cuenca del Río las Ceibas es un ecosistema de interés ambiental y biológico por su conservación del recurso hídrico. Tiene un área cercana a las 30.000 hectáreas que equivalen al 18% del municipio de Neiva. Provee de agua a la ciudad de Neiva pues de él se abastece el acueducto municipal. La cuenca del Río Las ceibas tiene diversidad climática por sus diferentes rangos altitudinales entre los 430 msnm a los 3150 msnm generando diversidad de paisajes flora y fauna. Recientemente se han hecho monitoreos de aves que enriquecen los listados dejados en la caracterización inicial de la cuenca con registros de 75 especies entre las que se destacan la guacharaca colombiana y el gallito de roca. Desde el parque principal de Neiva se toma la vía 45 hacia el oriente de la ciudad que conduce a la inspección de Balsillas en el departamento del Caquetá en el kilómetro 19 a mano derecha se encuentra la zona de protección.
Huila,Aipe,Cuesco Alimento Ancestral,https://huila.travel/inventario/414,Todo el Municipio,Na,1.6.2 La gastronomía y los saberes culinarios,Sityc Huila,0,,,,"Aipe, Na.",(1176 reviews),"En las regiones de tierra caliente de los departamentos de Cundinamarca, Tolima y Huila, existe una palma que ha sido de mucha importancia para los pobladores de la zona, desde tiempos prehispánicos, se trata de la palma de vino o de cuesco, Attalea butyracea, dela cual se hacen alimentos y bebidas cuya preparación se ha venido transmitiendo de generación en generación hasta la actualidad, se procesa el fruto maduro de la palma, una nuez rica en aminoácidos y en aceites esenciales, que se machaca y se cocina hasta producir una pasta con la cual se preparan arepas, panochas y bizcochos, también se puede extraer el aceite y producir chicha, una bebida ancestral que se puede tomar dulce o fermentada. Municipio de Aipe Departamento del Huila."
Huila,Paicol,Cueva Caja de Agua,https://huila.travel/inventario/200,Paicol,0,41518.2.12.1.1.1.1.4814,SYTIC,0,,,,"Paicol, 0.",(1176 reviews),Caverna de diversas galerías con un recorrido aproximado de 600 metros. Tiene una ruta principal siguiendo el curso de la Quebrada Santa Inés la cual forma pozos y cascadas al interior de la cueva y algunas rutas de galerías llegando algunas a ser tan bajas que se deben pasar en posición de arrastre. Cuenta con una diversidad biológica en la que se destaca la mayor abundancia y densidad de especies de murciélago caracterizada en el Huila formaciones calcáreas de estalactitas y estalagmitas que llegan a formar columnas causadas por el goteo de aguas pesadas y una diversidad de fósiles entre los que se encuentran conchas de nácar amonitas helechos y otros árboles petrificados. En sus alrededores existe una variedad biológica y se pueden observar con facilidad guacharacas loras y algunas otras aves. Saliendo del Parque Principal del Municipio de Paicol se toma la ruta que conduce a la vereda Santa Inés por 3.5 kilómetros aproximadamente hasta llegar al ingreso de la cueva desde allí a mano derecha se continua unos 100 metros a la entrada de la cueva.
Huila,Palestina,CUEVA DE LOS GUACHAROS - PNN CUEVA DE LOS GUACHAROS,https://huila.travel/inventario/15,,PARQUE PRINCIPAL PALESTINA,2.12.1,SITYC Huila,2147480000,,,,"Palestina, PARQUE PRINCIPAL PALESTINA.",(1176 reviews),"Cueva de amplias galerías por donde transcurre el tramo del rio Suaza, sus paredes siempre están húmedas y presentan una precipitación continua y aunque fue descubiertas en 1876 por el cauchero Luis Evaristo Chaus; hallazgos arqueológicos en 1972 nos muestra que la cueva fue habitada por grupos prehistóricos durante el siglo I a.de.C. Y posteriormente en el siglo VI d.de.C. Sirve como sitio de anidamiento para los guacharos, ave nocturna frugívora que puede llegar a medir hasta 1m con 20m de envergadura y se encuentra en vía de extinción. Ubicado a 20 Km del municipio de Palestina, 12 km hasta la vereda la mensura por una carretera si pavimentar y 8 km por un camino de herradura. Palestina está ubicada a 217 Km de Neiva, 189Km por vía pavimentada hasta Pitalito y 18 Km por carretera sin pavimentar."
Huila,Yaguará,Cueva del Amor,https://huila.travel/inventario/223,yaguara,0,41885.2.12.1.1.1.1.5172,SYTIC,0,,,,"Yaguará, 0.",(1176 reviews),Formación cársica que se encuentra en medio del Embalse de Betania rodeado de acantilados y formaciones rocosas. Ocasionalmente se observan garzas y águilas pescadoras. Su nombre se debe a que según la historia los ingenieros Italianos que participaron en las obras de construcción de casa de máquinas del Embalse de Betania utilizaban el sitio para enamorarse y tener momentos románticos. Saliendo del puerto de Yaguará se recorren 9 kilómetros por cuenca del Río Yaguará se cruza por frente a los muros del Embalse de Betania hasta salir a la cuenca del Río Magdalena y de allí aproximadamente 4 kilómetros hasta el sitio.
Huila,Palestina,CUEVA DEL INDIO - PNN CUEVA DE LOS GUACHAROS,https://huila.travel/inventario/18,,PARQUE PRINCIPAL PALESTINA,2.12.1,SITYC Huila,8315700,,,,"Palestina, PARQUE PRINCIPAL PALESTINA.",(1176 reviews),"Es una cueva de gran extensión, donde se pueden hacer recorridos de hasta 3.5 km, donde es posible la observación de formaciones calcáreas y galerías. La cueva tiene como especies de fauna representativa arañas, cangrejos de río y saltamontes entre otros. Contiene varias galerías con diferentes niveles de dificultad para el acceso, dos entradas y una ventana. Ubicado a 20 Km del municipio de Palestina, 12 km hasta la vereda la mensura por una carretera si pavimentar y 8 km por un camino de herradura. Palestina está ubicada a 217 Km de Neiva, 189Km por vía pavimentada hasta Pitalito y 18 Km por carretera sin pavimentar"
Huila,Yaguará,CUEVA DEL TIGRE,https://huila.travel/inventario/111,VEREDA UPAR,A 200 METROS DE LA ESCUELA RUR,2.12.2,SITYC Huila,2147480000,,,,"Yaguará, A 200 METROS DE LA ESCUELA RUR.",(1176 reviews),"Sitio natural, cuyo principal atractivo es una caverna en la que se pueden hacer recorridos de hasta 612 mts. Cuenta con dos galerías que se pueden visitar independientemente, pero para aficionados con el físico y la fortaleza mental, se puede entrar por un lado y salir por el otro pasando por algunas gateras de hasta 50 mts. Cuenta con diversa especies de este tipo de ecosistema, como murciélagos, amblipigidos, insectos y cangrejos de río. En el área, también se encuentra los cajones de agua(pozos), cascadas y cañones formados en la roca que terminan en una espectacular piscina natural denominada el Charco del Bejuco. Localizada a 52 km de Neiva 36 km por la vía pavimentada Yaguará hasta el cruce para ingresar a la vereda upar y 16 km por vía destapada hasta la escuela upar"
Huila,Yaguará,Cueva del Tigre,https://huila.travel/inventario/224,yaguara,0,41885.2.12.1.1.1.1.5173,SYTIC,0,,,,"Yaguará, 0.",(1176 reviews),La cueva del Tigre es una formación natural que da testimonio de lo que fue antes este territorio cuando estaba cubierto por el mar. Se trata de cavernas con salones y galerías con formaciones de estalactitas y estalagmitas fauna silvestre principalmente murciélagos amblipigios arañas y cangrejos. Así mismo se pueden encontrar fósiles de moluscos y crustáceos marinos formaciones rocosas corrientes de agua natural donde se encuentran peces típicos del medio. Tiene capacidad para 15 personas aproximadamente. Existen dos cuevas la cueva húmeda por la cual pasa un arroyo formando un charco en el que se pueden zambullir los visitantes y oxigenando el ambiente y la cueva seca que inicia en un amplio salon para luego seguir por una gatera o galería a sitios mas profundos. se puede encontrar fósiles de amonitas incrustadas en la roca y en la cueva húmeda una formación en forma de corazón que une en una estrecha galería el piso con el techo. Desde el Parque Principal de Yaguará por la vía hacia Neiva en aproximadamente 8 kilómetros se encuentra un cruce a mano derecha hacia la vereda vereda Upar al llegar a la escuela la vereda después de recorrer aproximadamente 9 kilómetros se toma el siguiente cruce a la derecha por 200 metros aproximadamente hasta llegar a la casa del predio y desde allí se camina 250 metros más hacia la cueva.
Huila,San Agustí­n,CUY A LA BRASA,https://huila.travel/inventario/76,,,1.6.2,SITYC Huila,0,,,,"San Agustí­n, NA.",(1176 reviews),"Receta tradicional para preparar el cuy o curí, roedor domestico originario de Suramérica, de especial contenido alimenticio y de exquisito sabor. Luego de ser sacrificado, eviscerado y pelado con agua caliente, se le aplica sal en su interior y se pone a asar en la braza, girándolo en una vara. Las vísceras se comen con maíz pira o en arroz y el curí se sirve completo con papa y yuca. Algunas personas preparan un adobo especial con hierbas, cebolla y tomate, para su preparación. Para llegar a San Agustín usted debe tomar la vía Bogotá - Neiva (306 Km), o llegar a Neiva por vía aérea, Neiva - Pitalito (189 Km) y Pitalito - San Agustín (38 Km)."
Huila,Neiva,DANZA SANJUANERO HUILENSE,https://huila.travel/inventario/16,,,1.6.7,SITYC Huila,0,,,,"Neiva, NA.",(1176 reviews),"Interpretación dancística del tema musical reconocido en el acervo melódico nacional, del compositor huilense Anselmo Durán plazas, el cual se convirtió en una modalidad independiente en los ritmos colombianos, es un bambuco diferente a los bambucos de ventana de los paisas, los de chirimía del Cauca, Chocó o Nariño. Tiene familiaridades con el Bambuco Fiestero acostumbrado en todo el Tolima grande, pero se distingue de él, por sus modos rítmicos y efectos de percusión procedentes del Rajaleñas. Su interpretación dancística es una puesta en escena de baile, romántico, aéreo, cargado de emociones, es una escenificación del proceso de conquista de la bailarina, por un enamorado galante, orgulloso de su porte y cortés. En su ejecución, desde cuando fuera creado como coreografía y argumento amoroso por Inés García de Durán, quien combinó elementos de bambuco tradicional y de la danza clásica, se compone de tres pasos, 8 figuras básicas, cinco o más denominadas de ""adorno""; que hacen parte del criterio para la evaluación de las candidatas al Reinado Nacional del Bambuco y el sinnúmero de reinados en la región. Neiva está Ubicada a 306 Km al sur de la ciudad de Bogotá, por una vía en muy buenas condiciones. Se puede llegar por vía aérea."
Huila,Villavieja,DESIERTO DE LA TATACOA SECTOR EL CARDÓN,https://huila.travel/inventario/78,VEREDA EL CUZCO,,2.10.2,SITYC Huila,0,,,,"Villavieja, NA.",(1176 reviews),"Sector del PNR Ecorregión La Tatacoa con características típicas de bosque sub xerofítico, vegetación natural como Payandé, Pelá, Naranjuelos, Cactus y posibilidades de observación de fauna principalmente aves. Cuenta con un sendero interpretativo con un recorrido de 3 horas aproximadamente y se puede integrar al Sendero El Cuzco. Del casco urbano de Villavieja vía al Desierto de La Tatacoa. Villavieja está Ubicada a 37 Km de la ciudad de Neiva, por una carretera pavimentada."
Huila,Villavieja,DESIERTO DE LA TATACOA SECTOR EL CUZCO,https://huila.travel/inventario/40,ECORREGION TATACOA JURIDICCION,,2.10.2,SITYC Huila,0,,,,"Villavieja, NA.",(1176 reviews),"Sector del PNR Ecorregión La Tatacoa, de interés geológico y paleontológico por presentar formaciones causadas por la erosión tales como montículos de diversas formas y Tepuyes, se caracteriza por presentar una coloración rojiza, causada por altos contenidos de óxidos en el suelo. En algunas áreas de se encuentran vestigios de antiguos yacimientos fosilíferos de especies como tortugas marinas y cocodrilos. Se ha definido un sendero interpretativo que facilita su operación turística Se llega por la vía que del Casco Urbano de Villavieja Conduce Al Observatorio Astronómico. Villavieja está Ubicada a 37 Km de la ciudad de Neiva, por una carretera pavimentada."
Huila,Villavieja,DESIERTO DE LA TATACOA SECTOR LOS HOYOS,https://huila.travel/inventario/53,VEREDA PALMIRA,,2.10.2,SITYC Huila,0,,,,"Villavieja, NA.",(1176 reviews),"Área de interés geológico con formaciones tales como montículos de diversas formas, altares y tepuyes, cuyo suelo es gris en su mayoría. Se destacan en materia turística algunos lugares que se han denominado con el paso del tiempo como ""los altares"", ""el congresos de los fantasmas"", ""el monumento a la virilidad"" y el ""paso de la culebra"". Además al finalizar el sendero se encuentra una piscina de aguas mineralizadas construida por los lugareños. Se ha definido un sendero interpretativo que facilita la operación turística del sector. Por la vía que del Casco Urbano de Villavieja conduce al Desierto hasta la posada Turística Los Hoyos donde Orfanda de allí 500 metros a mano Izquierda. Villavieja está Ubicada a 37 Km de la ciudad de Neiva, por una carretera pavimentada."
Huila,Villavieja,DESIERTO DE LA TATACOA SECTOR VALLE DE LOS XILOPALOS,https://huila.travel/inventario/69,VEREDA PALMIRA,,2.10.2,SITYC Huila,0,,,,"Villavieja, NA.",(1176 reviews),"Sector del PNR Ecorregión La Tatacoa, área de interés geológico con formaciones tales como montículos de diversas formas, altares y tepuyes, cuyo suelo es gris en su mayoría y con elementos paleontológicos de resaltar como xilópalos (fósiles de troncos de árboles antiguos) y fósiles animales como tortugas marinas. La calidad ambiental de esta área es relativamente buena y en algunos de los cañones se encuentran algunas especies arbustivas representativas de esta zona de vida (bosque sub xerofítico). Del casco urbano de Villavieja se toma vía al Desierto de La Tatacoa hasta llegar a La Posada Turística Los Hoyos y de allí 1.5 Km Villavieja está Ubicada a 37 Km de la ciudad de Neiva, por una carretera pavimentada"
Huila,Neiva,Dulce de Nochebuena,https://huila.travel/inventario/263,0,0,41001.1.3.2.1.1.1.5894,SYTIC,0,,,,"Neiva, 0.",(1176 reviews),Dulce emblemático de la gastronomía huilense. Se prepara como postre para la temporada navideña para su preparación se utiliza la cáscara de limón en mitades papaya verde brevas higuillos o papayuela los cuales se limpian para quitar el sabor amargo y se deshidratan al sol luego se cocinan en almíbar de azúcar o de panela con un poco de bicarbonato clavos de olor y canela acompañados de bizcochos de maíz y se sirven con pequeños trozos de quesillo o cuajada. Es una tradición heredada de las abuelas quienes mezclaban estos ingredientes con utensilios de cobre y principalmente lo repartían entre los vecinos y familiares como muestra de gratitud y amistad. Se puede conseguir principalmente en épocas navideñas más también algunas empresas y restaurantes locales lo preparan para su comercialización. Su precio oscila entre $5.000 a $10.000 pesos. 0
Huila,Villavieja,DULCES DE CACTUS,https://huila.travel/inventario/142,,,1.6.2,SITYC Huila,0,,,,"Villavieja, NA.",(1176 reviews),"Dulces a base del cactus Nopal, el cual se recolecta de cultivos establecidos por los lugareños, se lava, se pela, se pica en cuadritos, se exprime, se cocina, se deja enfriar y se preparan las bolitas y otros productos de dulcería tradicional. Se les adiciona saborizantes de productos naturales como algunas frutas de la región (mango y sandía por decir algunos). Esta manera de aprovechamiento del cactus, la generó una persona oriunda de Villavieja, resultó una novedad para el mercado local, con el tiempo ha logrado reconocimiento regional y nacional a través de las visitas turísticas a la región Villavieja está Ubicada a 37 Km de la ciudad de Neiva, por una carretera pavimentada."
Huila,Pitalito,Ecofinca El Recreo,https://huila.travel/inventario/424,Vereda Charguayaco,Vereda Charguayaco,1.2.1 Sector Urbano o rural de interés,Sityc Huila,318,,,,"Pitalito, Vereda Charguayaco.",(1176 reviews),"Finca Cafetera y Reserva de la Sociedad Civil ubicada en Distrito Regional de Manejo Integrado Serranía de Peñas Blancas, en la vereda Charguayaco del municipio de Pitalito, combina el cultivo de cafés especiales con una importante área de reserva natural, en sus espacios naturales y de cultivo se puede apreciar e interactuar con todo el proceso de producción de cafés especiales, senderos interpretativos que incluyen la huerta y apicultura; y observación de fauna y flora silvestre, destacando la abundancia de especies de aves y la presencia de monos aulladores; cuenta con 154 registros de aves en la plataforma Ebird, y dentro de las actividades y experiencias hay terapias naturales, hidroterapia, lodo terapia y meditación guiada, el hospedaje en cabañas y el eco Glamping, una cabaña en materiales de la zona lujosamente decorada y con una"
Huila,Neiva,Edificio Nacional,https://huila.travel/inventario/275,0,Calle 7 No. 6 - 38,41001.1.1.1.4.1.6.5895,SYTIC HUILA,0,19%,,24%,"Neiva, Calle 7 No. 6 - 38.",(1176 reviews),Construido entre los años 1930 y 1935 como sede de los correos y telégrafos nacionales. Fue diseñado por Diseño de Alberto Wills Ferro con un estilo arquitectónico Ecléctico. Con la asesoría del arquitecto Pablo de La Cruz definió el edificio dentro del estilo Neocatalán de moda en la época. Consta la edificación de tres cuerpos dispuestos alrededor de un patio central el frontero está rematado en uno de sus extremos por una torre a manera de minarete de planta rectangular con cúpula en concreto con arranque octogonal. Las dos plantas y el sótano del inmueble albergaron en un principio la administración postal de correos oficinas de telégrafos apartados postales y encomiendas. Presenta características únicas donde predominan los arcos de herradura con capiteles profusamente decorados al estilo nazarí bandas verticales con estrellas entretejidas a base de cuadrados y mosaicos de loza fina como principales motivos decorativos la escalera es en granito naranja con alegorías e iluminada por una serie de vitrales. En la ciudad el edificio se destaca por la singularidad de su arquitectura convirtiéndolo en un icono urbano. Actualidad la edificación es sede de las oficinas de la DIAN. 0
Huila,Isnos,EL ARCO DE LAS JARRAS,https://huila.travel/inventario/98,VEREDA LAS JARRAS,,2.5.1,SITYC Huila,0,,,,"Isnos, NA.",(1176 reviews),"Conjunto de caídas de agua por un lecho rocoso, para finalmente desembocar en el rio Bordones en un espectacular charco de unos ochenta metros de largo. Una de las cascadas golpea la roca y el agua se levanta en forma de arco, el agua a formando profundo hoyos en la roca, algunos de los cuales forman túneles angostos por los que puede pasar el agua. El acceso se hace a pie por un exuberante sendero rodeado de bosques, fuentes de agua y mucha diversidad de aves para finalmente pasar un puente de tablas sobre el Río Bordones y llegar a las cascadas Ubicado a 21.5 Km del casco urbano del municipio de Isnos, por una vía sin pavimentar que conduce a la vereda San Vicente pasando por el centro poblado de Bordones. Isnos, población Localizada a 228 Km de la ciudad de Neiva por un vía pavimentada en muy buen estado, pasando por Pitalito ubicado a 189 Km de Neiva"
Huila,Colombia,El Bosque Sub Xerofítico,https://huila.travel/inventario/188,Alrededores del Casco Urbano,Calle 6 # 3-74,2.9,SYTIC,3214260000,,,,"Colombia, Calle 6 # 3-74.",(1176 reviews),"En la zona baja del municipio de Colombia se encuentra Un Bosque muy seco tropical, espinoso o subxerofitico, con una condiciones especiales de asociación de cactus, rastrojos espinosos y una variedad de Agavácea, familiar del agave y el fique, la topografía esplana en algunos lugares y muy quebrada en otros en los que existe un proceso de formación de montañas, se pueden definir senderos para el disfrute de el paisaje, y la diversidad de flora y fauna. Se pueden hacer recorridos en una zona antes de llegar al casco urbano a los lados de la vía y en zona ubicad a la salida del casco urbano hacia Santana"
Huila,Pitalito,EL CABLE AEREO,https://huila.travel/inventario/149,VEREDA ALTO DE LA CRUZ,VEREDA ALTO DE LACRUZ-CORREGIM,1.1.5,SITYC Huila,2147480000,18%,,14%,"Pitalito, VEREDA ALTO DE LACRUZ-CORREGIM.",(1176 reviews),"Cable aéreo que permite el desplazamiento en dos canastas metálicas sobre un cañón de 590 metros de ancho por cerca de 400 metros de profundidad además de lo emocionante del viaje se disfruta de un espectacular paisaje de topografía quebrada cultivos de café, plátano, yuca entre otras mata de guadua viviendas campesinas y senderos en zigzag. Ubicado en la vereda Alto de la Cruz a 5 km centro poblado de Bruselas, población localizada a 12 Km de Pitalito por la vía que conduce a Mocoa. El municipio de Pitalito esta ubicado a 189 km de la ciudad de Neiva."
Huila,Pitalito,EL FIAMBRE,https://huila.travel/inventario/48,,,1.6.2,SITYC Huila,0,,,,"Pitalito, NA.",(1176 reviews),"Producto gastronómico tradicional de las zonas rurales del departamento del Huila muy utilizado en largos desplazamientos; o en lugares en donde por tiempo o por lo apartado del lugar no se pueden preparar alimentos. Generalmente consta de arroz, papa, yuca, carne de cerdo y pollo, aunque dependiendo del lugar, le incorporan chorizo, huevo o cualquier otro producto que se tenga disponible. Va envuelto en hojas de plátano o biao atado con fibra de plátano o fique en un paquete muy fácil de llevar y de incorporar al producto turístico ecológico de senderismo y travesías. Centro poblado de Bruselas, población localizada a 12 Km de Pitalito por la vía que conduce a Mocoa. El municipio de Pitalito esta ubicado a 189 km de la ciudad de Neiva."
Huila,Palestina,EL LAPIAZ - PARQUE NATURAL NACIONAL CUEVA DE LOS GUACHAROS,https://huila.travel/inventario/23,,PARQUE PRINCIPAL PALESTINA,2.12.3,SITYC Huila,2147480000,,,,"Palestina, PARQUE PRINCIPAL PALESTINA.",(1176 reviews),"Formación edafológica de los paisajes cársticos donde se forman estrechos canales en la roca calcárea por la acción del agua, formando cubos casi simétricos en el lecho rocoso del rio Suaza Ubicado a 20 Km del municipio de Palestina, 12 km hasta la vereda la mensura por una carretera si pavimentar y 8 km por un camino de herradura. Palestina está ubicada a 217 Km de Neiva, 189Km por vía pavimentada hasta Pitalito y 18 Km por carretera sin pavimentar."
